# Vampire numbers in base 12 (sorted ascending)
# Total: 281
# Format: <vampire_b12> = <fang1_b12> * <fang2_b12>  (dec: <vampire> = <f1> * <f2>)
#
354800 = 500 * 834  (dec: 858240 = 720 * 1192)
3557A3 = 533 * 7A5  (dec: 859947 = 759 * 1133)
359460 = 460 * 935  (dec: 866376 = 648 * 1337)
35B480 = 385 * B40  (dec: 869856 = 533 * 1632)
35B969 = 369 * B95  (dec: 870561 = 513 * 1697)
366196 = 636 * 691  (dec: 881538 = 906 * 973)
368AB4 = 384 * B6A  (dec: 886312 = 532 * 1666)
371A06 = 613 * 70A  (dec: 894822 = 879 * 1018)
37A560 = 5A0 * 763  (dec: 909720 = 840 * 1083)
37B600 = 600 * 73B  (dec: 911520 = 864 * 1055)
380539 = 503 * 893  (dec: 913149 = 723 * 1263)
385976 = 593 * 786  (dec: 922410 = 831 * 1110)
39A460 = 430 * A96  (dec: 951048 = 612 * 1554)
3A14A0 = 431 * AA0  (dec: 956280 = 613 * 1560)
3A5811 = 531 * 8A1  (dec: 963661 = 757 * 1273)
3AA946 = 439 * AA6  (dec: 972486 = 621 * 1566)
3AB346 = 436 * AB3  (dec: 973350 = 618 * 1575)
3B7600 = 600 * 7B3  (dec: 987552 = 864 * 1143)
401A99 = 499 * A01  (dec: 998613 = 693 * 1441)
404954 = 544 * 904  (dec: 1003600 = 772 * 1300)
410868 = 604 * 818  (dec: 1017296 = 868 * 1172)
416B00 = 461 * B00  (dec: 1028016 = 649 * 1584)
4183B1 = 431 * B81  (dec: 1030453 = 613 * 1681)
41A3A4 = 4A4 * A31  (dec: 1033900 = 700 * 1477)
41A765 = 641 * 7A5  (dec: 1034429 = 913 * 1133)
41A978 = 478 * A91  (dec: 1034732 = 668 * 1549)
41B06B = 461 * B0B  (dec: 1035155 = 649 * 1595)
421AB3 = 4B1 * A23  (dec: 1040103 = 709 * 1467)
425AA0 = 4A2 * A50  (dec: 1047000 = 698 * 1500)
429594 = 524 * 994  (dec: 1053184 = 748 * 1408)
43B579 = 54B * 973  (dec: 1077357 = 779 * 1383)
451985 = 581 * 945  (dec: 1102133 = 817 * 1349)
452A28 = 528 * A24  (dec: 1103936 = 752 * 1468)
459B30 = 495 * B30  (dec: 1116180 = 689 * 1620)
45A800 = 548 * A00  (dec: 1117440 = 776 * 1440)
468760 = 646 * 870  (dec: 1134648 = 918 * 1236)
46A800 = 6A4 * 800  (dec: 1138176 = 988 * 1152)
47B980 = 497 * B80  (dec: 1160880 = 691 * 1680)
492628 = 628 * 924  (dec: 1186304 = 896 * 1324)
496900 = 649 * 900  (dec: 1193616 = 921 * 1296)
49BAA6 = 4A6 * BA9  (dec: 1202526 = 702 * 1713)
4A5A59 = 545 * AA9  (dec: 1212837 = 773 * 1569)
4A5A76 = 546 * AA7  (dec: 1212858 = 774 * 1567)
4B05B8 = 504 * B8B  (dec: 1224284 = 724 * 1691)
505B7A = 557 * B0A  (dec: 1254478 = 787 * 1594)
513B80 = 531 * B80  (dec: 1271760 = 757 * 1680)
514B60 = 541 * B60  (dec: 1273464 = 769 * 1656)
5153B6 = 556 * B31  (dec: 1274106 = 786 * 1621)
515BB9 = 519 * BB5  (dec: 1275261 = 741 * 1721)
531B74 = 574 * B31  (dec: 1309768 = 808 * 1621)
53A266 = 626 * A35  (dec: 1324014 = 894 * 1481)
5539B6 = 595 * B36  (dec: 1354458 = 833 * 1626)
5569B3 = 6B3 * 955  (dec: 1359639 = 999 * 1361)
561B90 = 590 * B61  (dec: 1371996 = 828 * 1657)
564A60 = 646 * A50  (dec: 1377000 = 918 * 1500)
567A38 = 658 * A37  (dec: 1382156 = 932 * 1483)
56A460 = 645 * A60  (dec: 1386504 = 917 * 1512)
573709 = 753 * 907  (dec: 1395513 = 1071 * 1303)
573930 = 730 * 935  (dec: 1395828 = 1044 * 1337)
578800 = 800 * 857  (dec: 1404288 = 1152 * 1219)
57BA88 = 588 * BA7  (dec: 1409864 = 824 * 1711)
58BA59 = 5A9 * B85  (dec: 1430565 = 849 * 1685)
595379 = 759 * 935  (dec: 1439949 = 1077 * 1337)
597B00 = 700 * 9B5  (dec: 1444464 = 1008 * 1433)
5AB16B = 65B * AB1  (dec: 1470755 = 935 * 1573)
5ABB66 = 656 * ABB  (dec: 1472190 = 930 * 1583)
5B4363 = 635 * B43  (dec: 1479675 = 905 * 1635)
5B9A67 = 67B * A95  (dec: 1489327 = 959 * 1553)
6129B9 = 629 * B91  (dec: 1518621 = 897 * 1693)
6174B4 = 641 * B74  (dec: 1526536 = 913 * 1672)
617997 = 767 * 991  (dec: 1527235 = 1087 * 1405)
617AB8 = 6B1 * A78  (dec: 1527404 = 997 * 1532)
618880 = 861 * 880  (dec: 1528800 = 1225 * 1248)
61B463 = 663 * B41  (dec: 1533387 = 939 * 1633)
652AB9 = 6A9 * B25  (dec: 1601709 = 993 * 1613)
65B24A = 6A5 * B42  (dec: 1616026 = 989 * 1634)
681952 = 852 * 961  (dec: 1661966 = 1214 * 1369)
685990 = 850 * 969  (dec: 1668924 = 1212 * 1377)
68ABA8 = 6AA * B88  (dec: 1677872 = 994 * 1688)
697B09 = 709 * B69  (dec: 1693305 = 1017 * 1665)
6A71A4 = 7A4 * A61  (dec: 1712716 = 1132 * 1513)
6B0573 = 765 * B03  (dec: 1721895 = 1085 * 1587)
7527BB = 7B7 * B25  (dec: 1850111 = 1147 * 1613)
7583A6 = 856 * A73  (dec: 1859886 = 1218 * 1527)
759A83 = 853 * A79  (dec: 1862595 = 1215 * 1533)
781B40 = 817 * B40  (dec: 1911072 = 1171 * 1632)
781B42 = 812 * B47  (dec: 1911074 = 1166 * 1639)
7891A7 = 871 * A97  (dec: 1923535 = 1237 * 1555)
78A940 = 894 * A70  (dec: 1926336 = 1264 * 1524)
797898 = 978 * 987  (dec: 1941812 = 1388 * 1399)
7A1398 = 917 * A38  (dec: 1951460 = 1315 * 1484)
7A8A80 = 8A7 * A80  (dec: 1964544 = 1279 * 1536)
7B7828 = 828 * B77  (dec: 1983200 = 1184 * 1675)
804BB8 = 88B * B04  (dec: 1999292 = 1259 * 1588)
819A50 = 985 * A10  (dec: 2028444 = 1397 * 1452)
89A1B0 = 9B0 * A81  (dec: 2194836 = 1428 * 1537)
8AB194 = 914 * B8A  (dec: 2217280 = 1312 * 1690)
8B9428 = 924 * B88  (dec: 2234912 = 1324 * 1688)
9175B6 = 956 * B71  (dec: 2273178 = 1362 * 1669)
94B1B6 = 9B6 * B41  (dec: 2341722 = 1434 * 1633)
95AA69 = A65 * A99  (dec: 2361969 = 1517 * 1557)
9AB090 = A90 * B09  (dec: 2465964 = 1548 * 1593)
9AB108 = A91 * B08  (dec: 2466008 = 1549 * 1592)
A0BB1B = AB1 * B0B  (dec: 2508935 = 1573 * 1595)
A1B3A8 = A31 * BA8  (dec: 2528624 = 1477 * 1712)
A51BB6 = AB1 * B56  (dec: 2595450 = 1573 * 1650)
A5A7B0 = AA5 * B70  (dec: 2610420 = 1565 * 1668)
A81BB9 = AB9 * B81  (dec: 2657661 = 1581 * 1681)
B1A3B8 = B38 * BA1  (dec: 2775740 = 1628 * 1705)
